id,private,full_name,stars,ssh_url,clone_url,size,watchers,has_issues,forks,open_issues,license,run_item_id,cloned,chosen,commits,contributors,created_at,updated_at,pushed_at,analyzed,coverage,failed,comments,repo_id,commit_id,commite_id,complexity
4721,false,avraampiperidis/maven_multi_module_project_example,27,git@github.com:avraampiperidis/maven_multi_module_project_example.git,https://github.com/avraampiperidis/maven_multi_module_project_example.git,99,27,true,8,1,,91,false,false,NULL,NULL,2017-12-17 22:26:18+02,2023-05-05 13:03:58+03,2020-10-13 10:31:52+03,false,NULL,false,NULL,114566202,NULL,NULL,NULL
4722,false,VirgilSecurity/virgil-sdk-java-android,26,git@github.com:VirgilSecurity/virgil-sdk-java-android.git,https://github.com/VirgilSecurity/virgil-sdk-java-android.git,136867,26,true,5,2,other,91,false,false,NULL,NULL,2016-02-29 10:00:51+02,2024-10-25 12:05:45+03,2020-06-24 13:32:03+03,false,NULL,false,NULL,52774196,NULL,NULL,NULL
4723,false,jarslab/babel-maven-plugin,25,git@github.com:jarslab/babel-maven-plugin.git,https://github.com/jarslab/babel-maven-plugin.git,704,25,true,8,7,mit,91,true,true,63,5,2019-01-15 21:24:27+02,2025-01-09 12:06:08+02,2020-10-13 14:40:23+03,true,65.00,false,NULL,165910052,NULL,7511d64,84
4724,false,abcnull/apitest4j,25,git@github.com:abcnull/apitest4j.git,https://github.com/abcnull/apitest4j.git,29,25,true,19,1,,91,false,false,NULL,NULL,2020-08-13 18:15:14+03,2024-06-28 10:50:34+03,2020-08-17 10:18:47+03,false,NULL,false,NULL,287312916,NULL,NULL,NULL
4725,false,AdamBien/JakartaEE-essentials-archetype,25,git@github.com:AdamBien/JakartaEE-essentials-archetype.git,https://github.com/AdamBien/JakartaEE-essentials-archetype.git,37,25,true,5,2,mit,91,true,true,34,2,2019-09-10 14:27:56+03,2023-02-27 05:42:55+02,2020-06-08 15:52:57+03,true,NULL,true,Failed due to external dependencies,207540923,NULL,198306e,8
4726,false,jmaister/wordcount,24,git@github.com:jmaister/wordcount.git,https://github.com/jmaister/wordcount.git,12,24,true,32,0,,91,false,false,NULL,NULL,2013-12-10 00:03:31+02,2024-10-11 11:02:43+03,2020-02-13 02:28:05+02,false,NULL,false,NULL,15060337,NULL,NULL,NULL
4727,false,jonyfs/credit-card-api,21,git@github.com:jonyfs/credit-card-api.git,https://github.com/jonyfs/credit-card-api.git,415,21,true,20,0,,91,false,false,NULL,NULL,2015-12-05 15:45:44+02,2024-12-17 01:18:52+02,2020-04-08 04:10:58+03,false,NULL,false,NULL,47457322,NULL,NULL,NULL
4728,false,jgettext/gettext-commons,19,git@github.com:jgettext/gettext-commons.git,https://github.com/jgettext/gettext-commons.git,928,19,true,10,17,lgpl-2.1,91,false,false,NULL,NULL,2015-04-15 10:00:19+03,2024-08-06 05:24:47+03,2020-05-10 10:54:07+03,false,NULL,false,NULL,33978429,NULL,NULL,NULL
4729,false,Naoghuman/lib-fxml,19,git@github.com:Naoghuman/lib-fxml.git,https://github.com/Naoghuman/lib-fxml.git,279,19,true,2,8,gpl-3.0,91,false,false,NULL,NULL,2018-10-20 19:19:11+03,2024-01-24 16:08:22+02,2020-10-13 14:20:32+03,false,NULL,false,NULL,153924534,NULL,NULL,NULL
4730,false,galaxy-captain/Rocket-Spring-Integration,18,git@github.com:galaxy-captain/Rocket-Spring-Integration.git,https://github.com/galaxy-captain/Rocket-Spring-Integration.git,96,18,true,4,2,apache-2.0,91,true,true,35,4,2019-06-16 18:52:17+03,2022-08-22 03:59:06+03,2020-10-13 17:24:12+03,true,NULL,true,It has a pushed_at date but no commits in the expected period,192209602,NULL,NULL,305
4731,false,maithilish/maven-examples,16,git@github.com:maithilish/maven-examples.git,https://github.com/maithilish/maven-examples.git,26,16,true,19,5,gpl-3.0,91,true,true,2,1,2018-02-11 04:31:41+02,2024-01-09 10:38:38+02,2020-10-13 09:43:18+03,true,NULL,true,Incompatible structure for measuring coverage,121075789,NULL,NULL,139
4732,false,FanJups/cicd-applied-to-spring-boot-java-app,15,git@github.com:FanJups/cicd-applied-to-spring-boot-java-app.git,https://github.com/FanJups/cicd-applied-to-spring-boot-java-app.git,284,15,true,64,2,mit,91,true,true,48,3,2019-10-01 07:40:16+03,2023-10-07 13:13:48+03,2020-07-17 16:29:44+03,true,0.00,false,No coverage,212013759,NULL,0996e6e,3
4733,false,rieckpil/quickstart-jakarta-ee-guides,13,git@github.com:rieckpil/quickstart-jakarta-ee-guides.git,https://github.com/rieckpil/quickstart-jakarta-ee-guides.git,3773,13,true,20,0,mit,91,false,false,NULL,NULL,2019-12-11 08:30:34+02,2024-05-26 21:12:52+03,2020-02-16 12:45:50+02,false,NULL,false,NULL,227293124,NULL,NULL,NULL
4734,false,tornaia/java-offline-geoip,13,git@github.com:tornaia/java-offline-geoip.git,https://github.com/tornaia/java-offline-geoip.git,2845,13,true,2,0,apache-2.0,91,true,true,56,4,2018-08-18 16:33:10+03,2024-12-20 18:56:44+02,2020-01-05 19:10:22+02,true,NULL,true,Failed due to external dependencies,145222509,NULL,a49f6ba,125
4735,false,anicetkeric/spring-boot-multi-tenancy-mongo,13,git@github.com:anicetkeric/spring-boot-multi-tenancy-mongo.git,https://github.com/anicetkeric/spring-boot-multi-tenancy-mongo.git,72,13,true,7,0,,91,false,false,NULL,NULL,2020-12-10 11:05:18+02,2025-01-19 05:21:59+02,2020-12-21 11:51:34+02,false,NULL,false,NULL,320216418,NULL,NULL,NULL
4736,false,mixaverros88/dockerized-java-e-commerce-app,12,git@github.com:mixaverros88/dockerized-java-e-commerce-app.git,https://github.com/mixaverros88/dockerized-java-e-commerce-app.git,167910,12,true,12,0,,91,false,false,NULL,NULL,2018-06-25 18:41:47+03,2024-04-11 19:18:18+03,2020-07-18 23:16:18+03,false,NULL,false,NULL,138615676,NULL,NULL,NULL
4737,false,Pavelya/Selenium-cucumber-allure-reports-java,11,git@github.com:Pavelya/Selenium-cucumber-allure-reports-java.git,https://github.com/Pavelya/Selenium-cucumber-allure-reports-java.git,106,11,true,14,1,mit,91,true,true,45,2,2017-11-09 10:03:37+02,2024-02-21 22:42:57+02,2020-10-13 09:47:59+03,true,NULL,true,It has a pushed_at date but no commits in the expected period,110085313,NULL,NULL,311
4738,false,Naoghuman/lib-preferences,11,git@github.com:Naoghuman/lib-preferences.git,https://github.com/Naoghuman/lib-preferences.git,252,11,true,1,4,gpl-3.0,91,true,true,132,3,2014-07-16 07:03:12+03,2023-06-11 17:56:06+03,2020-10-13 02:20:06+03,true,NULL,true,It has a pushed_at date but no commits in the expected period,21886111,NULL,NULL,225
4739,false,Sokom141/BattleShip,10,git@github.com:Sokom141/BattleShip.git,https://github.com/Sokom141/BattleShip.git,155,10,true,10,16,mit,91,true,true,62,4,2020-10-23 16:46:20+03,2024-12-12 05:27:27+02,2020-12-08 21:51:10+02,true,NULL,true,Failed due to external dependencies,306650176,NULL,794db22,232
4740,false,Erik-ly/jar-upload-to-nexus,10,git@github.com:Erik-ly/jar-upload-to-nexus.git,https://github.com/Erik-ly/jar-upload-to-nexus.git,1433,10,true,7,1,,91,false,false,NULL,NULL,2019-09-13 06:05:28+03,2025-02-16 15:51:23+02,2020-06-06 08:42:37+03,false,NULL,false,NULL,208186232,NULL,NULL,NULL
4741,false,Md-MamunAbdulKayum/Spring-MVC-CRUD-form-submit-and-ajax,9,git@github.com:Md-MamunAbdulKayum/Spring-MVC-CRUD-form-submit-and-ajax.git,https://github.com/Md-MamunAbdulKayum/Spring-MVC-CRUD-form-submit-and-ajax.git,48395,9,true,13,2,,91,false,false,NULL,NULL,2018-03-03 13:42:21+02,2023-11-07 14:48:05+02,2020-10-13 10:34:44+03,false,NULL,false,NULL,123686716,NULL,NULL,NULL
4742,false,jsramraj/flags,9,git@github.com:jsramraj/flags.git,https://github.com/jsramraj/flags.git,3245,9,true,3,0,mit,91,false,false,NULL,NULL,2020-05-08 04:40:58+03,2023-04-18 18:34:46+03,2020-12-16 17:10:08+02,false,NULL,false,NULL,262199440,NULL,NULL,NULL
4743,false,gregswindle/maven-code-quality-pom,9,git@github.com:gregswindle/maven-code-quality-pom.git,https://github.com/gregswindle/maven-code-quality-pom.git,5425,9,true,12,9,mit,91,true,true,45,4,2017-11-09 04:58:59+02,2023-02-13 18:17:49+02,2020-06-01 15:40:22+03,true,NULL,true,It has a pushed_at date but no commits in the expected period,110059914,NULL,NULL,29
4744,false,mixaverros88/dockerized-java-mysql-app,8,git@github.com:mixaverros88/dockerized-java-mysql-app.git,https://github.com/mixaverros88/dockerized-java-mysql-app.git,13326,8,true,9,0,,91,false,false,NULL,NULL,2020-01-13 16:33:32+02,2024-12-02 00:27:57+02,2020-06-07 22:53:06+03,false,NULL,false,NULL,233615670,NULL,NULL,NULL
4745,false,RyanEllingson/maven-banking-app,8,git@github.com:RyanEllingson/maven-banking-app.git,https://github.com/RyanEllingson/maven-banking-app.git,872,8,true,7,1,,91,false,false,NULL,NULL,2020-09-27 07:33:16+03,2025-01-16 09:24:37+02,2020-09-28 05:59:40+03,false,NULL,false,NULL,298953362,NULL,NULL,NULL
4746,false,fedeoliv/java-custom-jre,8,git@github.com:fedeoliv/java-custom-jre.git,https://github.com/fedeoliv/java-custom-jre.git,238,8,true,2,0,mit,91,true,true,40,3,2019-08-29 22:17:16+03,2023-04-27 22:31:30+03,2020-12-24 18:36:12+02,true,0.00,false,No coverage,205234518,NULL,77b93a3,16
4747,false,JacopoWolf/PotatoChatProtocol,7,git@github.com:JacopoWolf/PotatoChatProtocol.git,https://github.com/JacopoWolf/PotatoChatProtocol.git,3668,7,true,4,0,unlicense,91,false,false,NULL,NULL,2019-10-15 18:29:48+03,2024-05-27 12:20:12+03,2020-05-17 16:00:01+03,false,NULL,false,NULL,215333317,NULL,NULL,NULL
4748,false,mahdieha/gitlab-parent-child-pipelines,7,git@github.com:mahdieha/gitlab-parent-child-pipelines.git,https://github.com/mahdieha/gitlab-parent-child-pipelines.git,8,7,true,3,0,,91,false,false,NULL,NULL,2020-08-23 20:49:07+03,2023-11-21 09:44:35+02,2020-08-23 21:35:28+03,false,NULL,false,NULL,289737862,NULL,NULL,NULL
4749,false,yazidisme/selenium-cucumber-page-object-example,7,git@github.com:yazidisme/selenium-cucumber-page-object-example.git,https://github.com/yazidisme/selenium-cucumber-page-object-example.git,31,7,true,7,0,mit,91,true,true,10,1,2019-11-12 08:04:20+02,2024-04-10 17:55:09+03,2020-10-27 04:46:22+02,true,NULL,true,Unresolved compilation issues,221142205,NULL,cb74a45,23
4750,false,fra82/drinventorclient,7,git@github.com:fra82/drinventorclient.git,https://github.com/fra82/drinventorclient.git,602,7,true,1,1,,91,false,false,NULL,NULL,2017-03-07 15:54:47+02,2020-08-07 19:46:31+03,2020-07-29 17:49:38+03,false,NULL,false,NULL,84204926,NULL,NULL,NULL
4751,false,khmarbaise/deployment-recorder-extension,6,git@github.com:khmarbaise/deployment-recorder-extension.git,https://github.com/khmarbaise/deployment-recorder-extension.git,466,6,true,2,6,apache-2.0,91,false,false,NULL,NULL,2017-03-25 14:20:34+02,2023-11-19 16:24:29+02,2020-10-13 04:25:08+03,false,NULL,false,NULL,86155338,NULL,NULL,NULL
4752,false,aliemrahpekesen/microservices-playground,6,git@github.com:aliemrahpekesen/microservices-playground.git,https://github.com/aliemrahpekesen/microservices-playground.git,42955,6,true,10,1,,91,false,false,NULL,NULL,2020-06-10 18:32:56+03,2023-11-14 10:47:13+02,2024-01-09 21:15:04+02,false,NULL,false,NULL,271315475,NULL,NULL,NULL
4753,false,vanitha128/appiumTests,6,git@github.com:vanitha128/appiumTests.git,https://github.com/vanitha128/appiumTests.git,1844,6,true,4,1,,91,false,false,NULL,NULL,2020-05-08 14:42:47+03,2024-12-15 12:39:26+02,2020-10-14 00:50:12+03,false,NULL,false,NULL,262308510,NULL,NULL,NULL
4754,false,ziponia/lib,6,git@github.com:ziponia/lib.git,https://github.com/ziponia/lib.git,189,6,true,1,0,mit,91,true,true,60,2,2019-09-05 16:47:08+03,2020-04-04 18:47:43+03,2020-04-04 18:47:40+03,true,NULL,true,It is a gradle project,206574671,NULL,NULL,237
4755,false,zp1ke/deps-checker,6,git@github.com:zp1ke/deps-checker.git,https://github.com/zp1ke/deps-checker.git,230,6,true,1,2,apache-2.0,91,false,false,NULL,NULL,2017-01-24 18:52:46+02,2024-03-17 18:45:23+02,2020-04-23 16:43:59+03,false,NULL,false,NULL,79932203,NULL,NULL,NULL
4756,false,m-boutaleb/word-to-pdf-converter,6,git@github.com:m-boutaleb/word-to-pdf-converter.git,https://github.com/m-boutaleb/word-to-pdf-converter.git,42412,6,true,2,1,mit,91,false,false,NULL,NULL,2020-10-03 16:45:20+03,2024-11-17 14:54:47+02,2020-10-04 19:28:33+03,false,NULL,false,NULL,300890179,NULL,NULL,NULL
4757,false,sergejshugajev/ModbusClientTCP,6,git@github.com:sergejshugajev/ModbusClientTCP.git,https://github.com/sergejshugajev/ModbusClientTCP.git,7,6,true,1,0,mit,91,true,true,7,1,2020-08-16 13:21:50+03,2023-11-17 03:54:28+02,2020-08-16 13:53:28+03,true,0.00,false,No actual tests,287920526,NULL,34875af,79
4758,false,narasimhavuppala/bdd-cucumber-java-demos,5,git@github.com:narasimhavuppala/bdd-cucumber-java-demos.git,https://github.com/narasimhavuppala/bdd-cucumber-java-demos.git,18,5,true,14,0,,91,false,false,NULL,NULL,2018-04-08 09:27:54+03,2023-02-25 10:01:01+02,2020-08-17 05:38:50+03,false,NULL,false,NULL,128606516,NULL,NULL,NULL
4759,false,mohyehia/spring-boot-multiple-jndi-datasources,5,git@github.com:mohyehia/spring-boot-multiple-jndi-datasources.git,https://github.com/mohyehia/spring-boot-multiple-jndi-datasources.git,59,5,true,5,0,,91,false,false,NULL,NULL,2020-02-09 10:55:20+02,2024-03-26 17:45:58+02,2020-02-09 11:27:21+02,false,NULL,false,NULL,239273718,NULL,NULL,NULL
4760,false,vamsidarbhamulla/cucumber-testng-rest-assured,5,git@github.com:vamsidarbhamulla/cucumber-testng-rest-assured.git,https://github.com/vamsidarbhamulla/cucumber-testng-rest-assured.git,72,5,true,7,0,gpl-3.0,91,true,true,4,2,2020-01-18 04:28:30+02,2024-02-27 15:35:39+02,2020-01-18 04:50:16+02,true,75.00,false,NULL,234670385,NULL,7bfebcb,12
4761,false,cianjinks/MandelbrotViewer,5,git@github.com:cianjinks/MandelbrotViewer.git,https://github.com/cianjinks/MandelbrotViewer.git,21197,5,true,1,1,,91,false,false,NULL,NULL,2020-01-19 15:34:33+02,2022-04-25 11:26:43+03,2020-06-27 19:55:24+03,false,NULL,false,NULL,234905769,NULL,NULL,NULL
4762,false,zhaoshaoquan/java-note,5,git@github.com:zhaoshaoquan/java-note.git,https://github.com/zhaoshaoquan/java-note.git,526,5,true,2,1,mit,91,false,false,NULL,NULL,2019-03-08 10:05:11+02,2020-06-19 03:33:06+03,2024-02-03 01:09:45+02,false,NULL,false,NULL,174494762,NULL,NULL,NULL
4763,false,AdityaKshettri/Employee-Management-REST-API-using-SpringBoot-SpringDataJPA,5,git@github.com:AdityaKshettri/Employee-Management-REST-API-using-SpringBoot-SpringDataJPA.git,https://github.com/AdityaKshettri/Employee-Management-REST-API-using-SpringBoot-SpringDataJPA.git,58,5,true,3,1,,91,false,false,NULL,NULL,2020-03-19 15:48:11+02,2025-01-02 11:05:00+02,2020-10-13 23:29:19+03,false,NULL,false,NULL,248514745,NULL,NULL,NULL
4764,false,metamug/mtg-api,5,git@github.com:metamug/mtg-api.git,https://github.com/metamug/mtg-api.git,160,5,true,2,6,,91,false,false,NULL,NULL,2016-03-27 15:39:46+03,2020-08-15 14:04:17+03,2020-08-15 14:04:14+03,false,NULL,false,NULL,54827827,NULL,NULL,NULL
4765,false,JeremyDsilva/Peer-Leader-Ring,5,git@github.com:JeremyDsilva/Peer-Leader-Ring.git,https://github.com/JeremyDsilva/Peer-Leader-Ring.git,7655,5,true,1,0,mit,91,true,true,114,4,2020-11-26 15:43:30+02,2021-01-21 08:16:45+02,2020-12-10 14:32:37+02,true,0.00,false,No coverage,316243184,NULL,c976413,1018
4766,false,Piyush-Karira/Rest-API-MoviesHub,5,git@github.com:Piyush-Karira/Rest-API-MoviesHub.git,https://github.com/Piyush-Karira/Rest-API-MoviesHub.git,60,5,true,3,0,,91,false,false,NULL,NULL,2020-05-08 19:21:30+03,2024-01-01 22:20:51+02,2020-05-17 18:05:59+03,false,NULL,false,NULL,262371544,NULL,NULL,NULL
4767,false,LalanaChami/Java-Media-Converter-mp4-to-mkv-mp3-and-flv,4,git@github.com:LalanaChami/Java-Media-Converter-mp4-to-mkv-mp3-and-flv.git,https://github.com/LalanaChami/Java-Media-Converter-mp4-to-mkv-mp3-and-flv.git,47,4,true,2,0,,91,false,false,NULL,NULL,2020-07-16 18:41:35+03,2024-11-15 09:55:49+02,2020-07-19 11:28:39+03,false,NULL,false,NULL,280192720,NULL,NULL,NULL
4768,false,NLthijs48/BukkitDo,4,git@github.com:NLthijs48/BukkitDo.git,https://github.com/NLthijs48/BukkitDo.git,8,4,true,3,0,,91,false,false,NULL,NULL,2017-11-25 17:17:44+02,2024-08-30 11:29:21+03,2020-08-11 21:04:04+03,false,NULL,false,NULL,112013145,NULL,NULL,NULL
4769,false,milpol/onefold,4,git@github.com:milpol/onefold.git,https://github.com/milpol/onefold.git,9,4,true,2,0,,91,false,false,NULL,NULL,2019-01-29 16:30:57+02,2020-03-08 19:34:53+02,2020-03-08 19:34:51+02,false,NULL,false,NULL,168168723,NULL,NULL,NULL
4770,false,timazet/jacov-spring-boot-starter-demo,4,git@github.com:timazet/jacov-spring-boot-starter-demo.git,https://github.com/timazet/jacov-spring-boot-starter-demo.git,57,4,false,3,0,,91,false,false,NULL,NULL,2020-10-25 21:12:44+02,2021-04-06 20:22:20+03,2020-12-10 15:45:20+02,false,NULL,false,NULL,307173241,NULL,NULL,NULL
4771,false,deepakbhalla/springboot-rest-template-crud-examples,4,git@github.com:deepakbhalla/springboot-rest-template-crud-examples.git,https://github.com/deepakbhalla/springboot-rest-template-crud-examples.git,580,4,true,1,0,,91,false,false,NULL,NULL,2020-08-31 23:02:16+03,2024-06-24 16:13:01+03,2020-09-07 16:24:48+03,false,NULL,false,NULL,291812747,NULL,NULL,NULL
4772,false,mojohaus/dbunit-maven-plugin,4,git@github.com:mojohaus/dbunit-maven-plugin.git,https://github.com/mojohaus/dbunit-maven-plugin.git,808,4,true,7,0,mit,91,true,true,102,9,2015-05-16 00:35:54+03,2023-12-26 14:26:18+02,2020-03-25 17:26:37+02,true,NULL,true,It has a pushed_at date but no commits in the expected period,35697946,NULL,NULL,46
4773,false,olivierlemasle/plaintext-maven-plugin,4,git@github.com:olivierlemasle/plaintext-maven-plugin.git,https://github.com/olivierlemasle/plaintext-maven-plugin.git,21,4,true,3,3,apache-2.0,91,true,true,9,1,2016-10-02 11:31:12+03,2019-12-10 04:20:18+02,2020-10-13 04:42:33+03,true,NULL,true,It has a pushed_at date but no commits in the expected period,69786871,NULL,NULL,27
4774,false,tomoncle/mxnet-spring-samples,4,git@github.com:tomoncle/mxnet-spring-samples.git,https://github.com/tomoncle/mxnet-spring-samples.git,1148,4,true,1,0,apache-2.0,91,true,true,34,3,2019-04-22 17:58:10+03,2023-01-28 16:51:01+02,2020-04-25 11:12:17+03,true,NULL,true,Failed due to external dependencies,182810269,NULL,f514a76,69
4775,false,aashish-chaubey/graphql-example,4,git@github.com:aashish-chaubey/graphql-example.git,https://github.com/aashish-chaubey/graphql-example.git,65,4,true,2,0,,91,false,false,NULL,NULL,2020-03-23 21:11:43+02,2020-09-23 15:08:07+03,2020-03-26 07:00:34+02,false,NULL,false,NULL,249521302,NULL,NULL,NULL
4776,false,narasimhavuppala/jenkins-calculator,4,git@github.com:narasimhavuppala/jenkins-calculator.git,https://github.com/narasimhavuppala/jenkins-calculator.git,18,4,true,21,1,,91,false,false,NULL,NULL,2018-01-06 16:59:42+02,2022-11-10 20:53:56+02,2020-10-13 04:09:58+03,false,NULL,false,NULL,116491634,NULL,NULL,NULL
4777,false,ldez/jar2pom,4,git@github.com:ldez/jar2pom.git,https://github.com/ldez/jar2pom.git,214,4,true,3,0,,91,false,false,NULL,NULL,2014-08-12 23:34:29+03,2024-10-23 07:11:46+03,2020-10-12 22:43:14+03,false,NULL,false,,22891620,NULL,,NULL
4778,false,TheSeems/TQueue,4,git@github.com:TheSeems/TQueue.git,https://github.com/TheSeems/TQueue.git,166,4,true,1,2,gpl-3.0,91,true,true,26,4,2020-02-16 19:48:52+02,2023-01-28 07:14:23+02,2020-10-13 22:49:32+03,true,41.00,false,NULL,240937236,NULL,75a9ef0,490
4779,false,Niweera/wordhunter-v2,3,git@github.com:Niweera/wordhunter-v2.git,https://github.com/Niweera/wordhunter-v2.git,182,3,true,2,0,mit,91,false,false,NULL,NULL,2020-05-30 19:22:30+03,2023-03-01 23:10:24+02,2020-06-02 23:32:06+03,false,NULL,false,NULL,268116918,NULL,NULL,NULL
4780,false,ChrisC132/Adaptive-Channels-for-TS3-Servers,3,git@github.com:ChrisC132/Adaptive-Channels-for-TS3-Servers.git,https://github.com/ChrisC132/Adaptive-Channels-for-TS3-Servers.git,414,3,true,1,0,,91,false,false,NULL,NULL,2020-06-15 21:52:07+03,2021-07-30 17:03:04+03,2020-08-03 19:07:37+03,false,NULL,false,NULL,272519101,NULL,NULL,NULL
4781,false,mohsiqba/sonar-maven,3,git@github.com:mohsiqba/sonar-maven.git,https://github.com/mohsiqba/sonar-maven.git,49,3,true,7,7,,91,false,false,NULL,NULL,2020-05-24 08:57:07+03,2024-11-27 14:50:08+02,2020-10-14 01:27:53+03,false,NULL,false,NULL,266479577,NULL,NULL,NULL
4782,false,claykabongok/Todo-REST-API-Spring-Boot,3,git@github.com:claykabongok/Todo-REST-API-Spring-Boot.git,https://github.com/claykabongok/Todo-REST-API-Spring-Boot.git,243,3,true,8,0,mit,91,true,true,10,2,2020-05-17 21:35:12+03,2025-02-06 00:38:32+02,2020-09-16 09:30:14+03,true,NULL,true,Tests fail,264732191,NULL,1aac490,70
4783,false,dariiabutorina/OnlineShop,3,git@github.com:dariiabutorina/OnlineShop.git,https://github.com/dariiabutorina/OnlineShop.git,229,3,true,2,0,,91,false,false,NULL,NULL,2020-09-02 15:48:17+03,2025-01-20 17:07:56+02,2020-10-19 17:24:10+03,false,NULL,false,NULL,292281251,NULL,NULL,NULL
4784,false,davidyslu/ONOS-Practice,3,git@github.com:davidyslu/ONOS-Practice.git,https://github.com/davidyslu/ONOS-Practice.git,55,3,true,1,2,apache-2.0,91,true,true,14,2,2018-12-14 16:21:56+02,2022-04-30 13:50:34+03,2020-10-13 14:17:53+03,true,NULL,true,Incompatible structure for measuring coverage,161794413,NULL,NULL,34
4785,false,devdilip/parking-lot-problem,3,git@github.com:devdilip/parking-lot-problem.git,https://github.com/devdilip/parking-lot-problem.git,31,3,true,1,1,,91,false,false,NULL,NULL,2019-10-23 09:41:56+03,2021-12-14 21:11:50+02,2020-10-13 19:55:16+03,false,NULL,false,NULL,216986392,NULL,NULL,NULL
4786,false,0d3ng/maven-multithreading,3,git@github.com:0d3ng/maven-multithreading.git,https://github.com/0d3ng/maven-multithreading.git,11,3,true,1,1,,91,false,false,NULL,NULL,2019-05-31 18:08:10+03,2020-12-10 14:07:39+02,2020-10-13 16:35:33+03,false,NULL,false,NULL,189614220,NULL,NULL,NULL
4787,false,berroteran/GraphQL-Java-SpringBoot-DEMO,3,git@github.com:berroteran/GraphQL-Java-SpringBoot-DEMO.git,https://github.com/berroteran/GraphQL-Java-SpringBoot-DEMO.git,14,3,true,1,0,mit,91,true,true,8,1,2020-07-28 18:21:27+03,2021-06-18 21:31:58+03,2020-07-29 04:06:51+03,true,0.00,false,No actual tests,283251131,NULL,c6d928d,13
4788,false,qqilihq/maven-test-parser-plugin,3,git@github.com:qqilihq/maven-test-parser-plugin.git,https://github.com/qqilihq/maven-test-parser-plugin.git,100,3,true,1,0,apache-2.0,91,true,true,44,5,2015-11-23 00:32:11+02,2022-10-25 14:39:15+03,2020-10-21 11:32:32+03,true,71.00,false,NULL,46683710,NULL,0faed3c,51
